model,entity_type,true_positives,false_positives,false_negatives,precision,recall,f1
Jean-Baptiste/roberta-large-ner-english,ALL,31,42,29,0.4247,0.5167,0.4662
Jean-Baptiste/roberta-large-ner-english,FUNDER,0,0,18,0.0,0.0,0.0
Jean-Baptiste/roberta-large-ner-english,GRANT_ID,10,1,2,0.9091,0.8333,0.8696
Jean-Baptiste/roberta-large-ner-english,ORGANIZATION,13,32,7,0.2889,0.65,0.4
Jean-Baptiste/roberta-large-ner-english,PERSON,8,9,0,0.4706,1.0,0.64
Jean-Baptiste/roberta-large-ner-english,PROJECT_ID,0,0,2,0.0,0.0,0.0
dslim/bert-base-NER,ALL,31,37,29,0.4559,0.5167,0.4844
dslim/bert-base-NER,FUNDER,0,0,18,0.0,0.0,0.0
dslim/bert-base-NER,GRANT_ID,10,1,2,0.9091,0.8333,0.8696
dslim/bert-base-NER,ORGANIZATION,15,32,5,0.3191,0.75,0.4478
dslim/bert-base-NER,PERSON,6,4,2,0.6,0.75,0.6667
dslim/bert-base-NER,PROJECT_ID,0,0,2,0.0,0.0,0.0
Davlan/bert-base-multilingual-cased-ner-hrl,ALL,30,42,30,0.4167,0.5,0.4545
Davlan/bert-base-multilingual-cased-ner-hrl,FUNDER,0,0,18,0.0,0.0,0.0
Davlan/bert-base-multilingual-cased-ner-hrl,GRANT_ID,10,1,2,0.9091,0.8333,0.8696
Davlan/bert-base-multilingual-cased-ner-hrl,ORGANIZATION,12,31,8,0.2791,0.6,0.381
Davlan/bert-base-multilingual-cased-ner-hrl,PERSON,8,10,0,0.4444,1.0,0.6154
Davlan/bert-base-multilingual-cased-ner-hrl,PROJECT_ID,0,0,2,0.0,0.0,0.0
