config_id,model_name,topic_id,topic_label,top_words,size,assigned_paper_ids,assigned_paper_titles,human_interpretability_label
bertopic_reduced_k5,BERTopic,0,spiral / galaxy / way,spiral; galaxy; way; milky; milky way; arms; stars; material; spiral arms; disk,12,paper_002; paper_003; paper_006; paper_011; paper_012; paper_013; paper_015; paper_016; paper_018; paper_019; paper_021; paper_024,Spiral structure of the Milky Way and external galaxies | Deflection of the hypervelocity stars by the dance of the Milky Way and Large Magellanic Cloud | High-Velocity Neutral Hydrogen in the Central Region of the Andromeda Galaxy | Triangulum galaxy viewed byPlanck | Mass spectrum of star formation in the Sombrero galaxy | Triangulum IV: A Possible Ultra-Diffuse Satellite of M33 | The Calculations of Gravity Fields and Rotation Curves of Whirlpool Galaxies and Dark Material | Phase-space Correlation in Stellar Streams of the Milky Way Halo: The Clash of Kshir and GD-1* | Dwarf Spheroidal Galaxies in the M101 Group and Behind it | A Dynamical Model of the M101/NGC 5474 Encounter | Morphology and Kinematics of the Gas in M51: How Interaction with NGC 5195 Has Molded the Structure of Its Arms | Surveying the Whirlpool at Arcseconds with NOEMA (SWAN),"Galaxy dynamics, spiral structure and gas kinematics"
bertopic_reduced_k5,BERTopic,1,sculptor / stars / star,sculptor; stars; star; galaxy; dsph; formation; dwarf; star formation; fornax; giant,8,paper_001; paper_023; paper_025; paper_026; paper_027; paper_028; paper_029; paper_030,Stellar and dust SED modelling of the Whirlpool interacting galaxy system | Fire and Ice in the Whirlpool: Spatially Resolved Scaling Relations between X-Ray-emitting Hot Gas and Cold Molecular Gas in M51 | A recent merger in the Fornax dwarf spheroidal galaxy | New Photometric Surveys of the Fornax Dwarf Spheroidal Galaxy | Variable Stars in the Fornax Dwarf Galaxy | Chemistry of Stars in the Sculptor Dwarf Galaxy from VLT-FLAMES | Exploring Halo Substructure with Giant Stars. VIII. The Extended Structure of the Sculptor Dwarf Spheroidal Galaxy | The ESO-Sculptor Survey: Galaxy Populations and Luminosity Function at z < 0.5,"Dwarf galaxies, stellar populations and star formation"
bertopic_reduced_k5,BERTopic,2,decomposition / galaxies / halo,decomposition; galaxies; halo; stellar; gc; sombrero; sombrerolike; sombrerolike galaxies; photometric; using,4,paper_004; paper_009; paper_017; paper_020,"HST photometry of Globular Clusters in the Sombrero Galaxy | Spectra of globular clusters in the Sombrero galaxy: Evidence for spectroscopic metallicity bimodality | Mapping the Milky Way with LAMOST – II. The stellar halo | Beyond Morphology: Challenges in Decomposing Massive Stellar Halos in Sombrero-like, Halo-Embedded Disk Galaxies, Halo-Embedded Disk Galaxies","Stellar halos, globular clusters and galaxy structure"
bertopic_reduced_k5,BERTopic,3,markarian / source / galaxies,markarian; source; galaxies; kev; m87; scan; absorption; comptonreflection; 3c; nuclei,4,paper_005; paper_007; paper_008; paper_010,Sombrero Galaxy as an Accelerator of Ultrahigh Energy Cosmic Ray Nuclei | A Photometric Study of Markarian Galaxies | The X-ray variability history of Markarian 3 | Evidence for X-Radiation from the Radio Galaxy M87,"Active galaxies, X-ray emission and high-energy processes"
bertopic_reduced_k5,BERTopic,4,plates / magellanic / stars,plates; magellanic; stars; images; lmc; rr; schmidt; magnitude; field; using,2,paper_014; paper_022,A Survey for RR Lyrae Variables in the Large Magellanic Cloud | The Study of Stellar Populations and Dynamics in the Small Magellanic Cloud using the UKST,Magellanic Clouds and variable stellar populations
bertopic_reduced_k6,BERTopic,0,way / milky / milky way,way; milky; milky way; spiral; galaxy; arms; material; stars; disk; dark,9,paper_002; paper_003; paper_006; paper_011; paper_015; paper_016; paper_019; paper_021; paper_024,Spiral structure of the Milky Way and external galaxies | Deflection of the hypervelocity stars by the dance of the Milky Way and Large Magellanic Cloud | High-Velocity Neutral Hydrogen in the Central Region of the Andromeda Galaxy | Triangulum galaxy viewed byPlanck | The Calculations of Gravity Fields and Rotation Curves of Whirlpool Galaxies and Dark Material | Phase-space Correlation in Stellar Streams of the Milky Way Halo: The Clash of Kshir and GD-1* | A Dynamical Model of the M101/NGC 5474 Encounter | Morphology and Kinematics of the Gas in M51: How Interaction with NGC 5195 Has Molded the Structure of Its Arms | Surveying the Whirlpool at Arcseconds with NOEMA (SWAN),"Galaxy dynamics, spiral structure and gas kinematics"
bertopic_reduced_k6,BERTopic,1,sculptor / stars / star,sculptor; stars; star; galaxy; dsph; formation; dwarf; star formation; fornax; giant,8,paper_001; paper_023; paper_025; paper_026; paper_027; paper_028; paper_029; paper_030,Stellar and dust SED modelling of the Whirlpool interacting galaxy system | Fire and Ice in the Whirlpool: Spatially Resolved Scaling Relations between X-Ray-emitting Hot Gas and Cold Molecular Gas in M51 | A recent merger in the Fornax dwarf spheroidal galaxy | New Photometric Surveys of the Fornax Dwarf Spheroidal Galaxy | Variable Stars in the Fornax Dwarf Galaxy | Chemistry of Stars in the Sculptor Dwarf Galaxy from VLT-FLAMES | Exploring Halo Substructure with Giant Stars. VIII. The Extended Structure of the Sculptor Dwarf Spheroidal Galaxy | The ESO-Sculptor Survey: Galaxy Populations and Luminosity Function at z < 0.5,"Dwarf galaxies, stellar populations and star formation"
bertopic_reduced_k6,BERTopic,2,decomposition / galaxies / halo,decomposition; galaxies; halo; stellar; gc; sombrero; sombrerolike galaxies; sombrerolike; photometric; using,4,paper_004; paper_009; paper_017; paper_020,"HST photometry of Globular Clusters in the Sombrero Galaxy | Spectra of globular clusters in the Sombrero galaxy: Evidence for spectroscopic metallicity bimodality | Mapping the Milky Way with LAMOST – II. The stellar halo | Beyond Morphology: Challenges in Decomposing Massive Stellar Halos in Sombrero-like, Halo-Embedded Disk Galaxies, Halo-Embedded Disk Galaxies","Stellar halos, globular clusters and galaxy structure"
bertopic_reduced_k6,BERTopic,3,markarian / source / galaxies,markarian; source; galaxies; kev; m87; scan; absorption; comptonreflection; 3c; nuclei,4,paper_005; paper_007; paper_008; paper_010,Sombrero Galaxy as an Accelerator of Ultrahigh Energy Cosmic Ray Nuclei | A Photometric Study of Markarian Galaxies | The X-ray variability history of Markarian 3 | Evidence for X-Radiation from the Radio Galaxy M87,"Active galaxies, X-ray emission and high-energy processes"
bertopic_reduced_k6,BERTopic,4,iv / tri iv / tri,iv; tri iv; tri; m33; mass; satellites; surface; surface brightness; brightness; distance,3,paper_012; paper_013; paper_018,Mass spectrum of star formation in the Sombrero galaxy | Triangulum IV: A Possible Ultra-Diffuse Satellite of M33 | Dwarf Spheroidal Galaxies in the M101 Group and Behind it,Satellite galaxies and low-surface-brightness systems
bertopic_reduced_k6,BERTopic,5,plates / magellanic / stars,plates; magellanic; stars; images; lmc; rr; schmidt; magnitude; field; using,2,paper_014; paper_022,A Survey for RR Lyrae Variables in the Large Magellanic Cloud | The Study of Stellar Populations and Dynamics in the Small Magellanic Cloud using the UKST,Magellanic Clouds and variable stellar populations
