query_paper,relevant_paper,relation_type,reason
paper_001,paper_021,same_galaxy,M51/Whirlpool Galaxy and interaction with NGC 5195
paper_001,paper_023,same_galaxy,M51/Whirlpool Galaxy and interstellar medium
paper_001,paper_024,same_galaxy,M51/Whirlpool Galaxy and gas/dust observations
paper_001,paper_015,same_galaxy,Whirlpool Galaxy and galaxy structure/rotation
paper_021,paper_023,same_galaxy,M51/Whirlpool Galaxy and gas/kinematics
paper_021,paper_024,same_galaxy,M51/Whirlpool Galaxy and molecular gas/spiral structure
paper_023,paper_024,same_galaxy,M51/Whirlpool Galaxy and gas phases
paper_004,paper_009,same_galaxy,Sombrero Galaxy/M104 and globular clusters
paper_004,paper_012,same_galaxy,Sombrero Galaxy/M104 stellar populations
paper_004,paper_005,same_galaxy,Sombrero Galaxy/M104
paper_009,paper_012,same_galaxy,Sombrero Galaxy/M104 stellar populations
paper_005,paper_020,same_galaxy_family,Sombrero or Sombrero-like galaxies
paper_004,paper_020,same_galaxy_family,Sombrero and Sombrero-like galaxy structure
paper_002,paper_016,same_galaxy,Milky Way structure/halo
paper_002,paper_017,same_galaxy,Milky Way structure/stellar halo
paper_003,paper_014,related_galaxy_system,Milky Way and Large Magellanic Cloud
paper_003,paper_016,same_galaxy,Milky Way halo/dynamics
paper_003,paper_017,same_galaxy,Milky Way halo/dynamics
paper_016,paper_017,same_galaxy,Milky Way stellar halo and streams
paper_011,paper_013,same_galaxy,Triangulum Galaxy/M33
paper_014,paper_022,related_galaxy_system,Magellanic Clouds LMC/SMC
paper_018,paper_019,same_galaxy,M101 group and M101 interaction
paper_025,paper_026,same_galaxy,Fornax dwarf spheroidal galaxy
paper_025,paper_027,same_galaxy,Fornax dwarf galaxy
paper_026,paper_027,same_galaxy,Fornax dwarf galaxy
paper_028,paper_029,same_galaxy,Sculptor dwarf spheroidal galaxy
paper_028,paper_030,related_survey,Sculptor dwarf galaxy and ESO-Sculptor survey
paper_029,paper_030,related_survey,Sculptor dwarf galaxy and ESO-Sculptor survey
paper_007,paper_008,related_galaxy_type,Markarian/Seyfert/active galaxies
paper_008,paper_010,related_observation_type,X-ray emission and active/radio galaxy context
