similarity_id,model_name,rank,source_paper,target_paper,source_title,target_title,similarity_score,similarity_metric,representation_method,selection_method,in_gold,gold_relation_type,final_label
semantic_similarity_0021,sentence-transformers/all-mpnet-base-v2,1,paper_004,paper_009,HST photometry of Globular Clusters in the Sombrero Galaxy,Spectra of globular clusters in the Sombrero galaxy: Evidence for spectroscopic metallicity bimodality,0.8215,cosine_similarity,sentence-transformers/all-mpnet-base-v2,top_20,yes,same_galaxy,similar
semantic_similarity_0022,sentence-transformers/all-mpnet-base-v2,2,paper_025,paper_026,A recent merger in the Fornax dwarf spheroidal galaxy,New Photometric Surveys of the Fornax Dwarf Spheroidal Galaxy,0.8205,cosine_similarity,sentence-transformers/all-mpnet-base-v2,top_20,yes,same_galaxy,similar
semantic_similarity_0023,sentence-transformers/all-mpnet-base-v2,3,paper_014,paper_022,A Survey for RR Lyrae Variables in the Large Magellanic Cloud,The Study of Stellar Populations and Dynamics in the Small Magellanic Cloud using the UKST,0.8073,cosine_similarity,sentence-transformers/all-mpnet-base-v2,top_20,yes,related_galaxy_system,parcialmente similar
semantic_similarity_0024,sentence-transformers/all-mpnet-base-v2,4,paper_026,paper_029,New Photometric Surveys of the Fornax Dwarf Spheroidal Galaxy,Exploring Halo Substructure with Giant Stars. VIII. The Extended Structure of the Sculptor Dwarf Spheroidal Galaxy,0.7488,cosine_similarity,sentence-transformers/all-mpnet-base-v2,top_20,no,,parcialmente similar
semantic_similarity_0026,sentence-transformers/all-mpnet-base-v2,6,paper_019,paper_021,A Dynamical Model of the M101/NGC 5474 Encounter,Morphology and Kinematics of the Gas in M51: How Interaction with NGC 5195 Has Molded the Structure of Its Arms,0.7371,cosine_similarity,sentence-transformers/all-mpnet-base-v2,top_20,no,,parcialmente similar
semantic_similarity_0027,sentence-transformers/all-mpnet-base-v2,7,paper_028,paper_029,Chemistry of Stars in the Sculptor Dwarf Galaxy from VLT-FLAMES,Exploring Halo Substructure with Giant Stars. VIII. The Extended Structure of the Sculptor Dwarf Spheroidal Galaxy,0.7344,cosine_similarity,sentence-transformers/all-mpnet-base-v2,top_20,yes,same_galaxy,similar
semantic_similarity_0029,sentence-transformers/all-mpnet-base-v2,9,paper_025,paper_029,A recent merger in the Fornax dwarf spheroidal galaxy,Exploring Halo Substructure with Giant Stars. VIII. The Extended Structure of the Sculptor Dwarf Spheroidal Galaxy,0.7271,cosine_similarity,sentence-transformers/all-mpnet-base-v2,top_20,no,,parcialmente similar
semantic_similarity_0030,sentence-transformers/all-mpnet-base-v2,10,paper_002,paper_021,Spiral structure of the Milky Way and external galaxies,Morphology and Kinematics of the Gas in M51: How Interaction with NGC 5195 Has Molded the Structure of Its Arms,0.7258,cosine_similarity,sentence-transformers/all-mpnet-base-v2,top_20,no,,parcialmente similar
semantic_similarity_0031,sentence-transformers/all-mpnet-base-v2,11,paper_004,paper_020,HST photometry of Globular Clusters in the Sombrero Galaxy,"Beyond Morphology: Challenges in Decomposing Massive Stellar Halos in Sombrero-like, Halo-Embedded Disk Galaxies, Halo-Embedded Disk Galaxies",0.7229,cosine_similarity,sentence-transformers/all-mpnet-base-v2,top_20,yes,same_galaxy_family,parcialmente similar
semantic_similarity_0032,sentence-transformers/all-mpnet-base-v2,12,paper_026,paper_028,New Photometric Surveys of the Fornax Dwarf Spheroidal Galaxy,Chemistry of Stars in the Sculptor Dwarf Galaxy from VLT-FLAMES,0.7158,cosine_similarity,sentence-transformers/all-mpnet-base-v2,top_20,no,,parcialmente similar
semantic_similarity_0033,sentence-transformers/all-mpnet-base-v2,13,paper_026,paper_027,New Photometric Surveys of the Fornax Dwarf Spheroidal Galaxy,Variable Stars in the Fornax Dwarf Galaxy,0.7125,cosine_similarity,sentence-transformers/all-mpnet-base-v2,top_20,yes,same_galaxy,similar
semantic_similarity_0035,sentence-transformers/all-mpnet-base-v2,15,paper_025,paper_027,A recent merger in the Fornax dwarf spheroidal galaxy,Variable Stars in the Fornax Dwarf Galaxy,0.7071,cosine_similarity,sentence-transformers/all-mpnet-base-v2,top_20,yes,same_galaxy,similar
semantic_similarity_0036,sentence-transformers/all-mpnet-base-v2,16,paper_002,paper_024,Spiral structure of the Milky Way and external galaxies,Surveying the Whirlpool at Arcseconds with NOEMA (SWAN),0.6978,cosine_similarity,sentence-transformers/all-mpnet-base-v2,top_20,no,,parcialmente similar
